sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C04-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2594,4.121027246455075,0.6621797464241574,0.8602317469545226,1.516322232269697,0.4939311594202898,0.8113372188350625
C04-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4556,3.454798377937929,0.8077537370928488,0.9058823529411765,1.3897893560574506,0.478316066576087,0.8646510703566067
C05-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C05-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C05-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C06-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C06-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C06-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C07-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2065,4.727321227047977,0.5756698379620055,0.8342857142857143,1.600958222934757,0.4973562047101449,0.7957940342676253
C07-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2683,4.08621916744697,0.6428857996849554,0.8512110726643599,1.522513900032261,0.4868607525664251,0.8070560548554764
C07-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4622,3.4363726552102856,0.8236937823954682,0.910709483508661,1.3790232519936239,0.47915770304951694,0.8677290221257664
C08-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C08-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C08-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
