sample_id,precursor,d_um,D_f,solidity,elongation,roughness_ratio,n_scales,seg_config_hash
C01-L,L,10.654364233151115,1.08078028746267,0.8555023923444977,0.24878934082560167,1.2883852029180474,8,4127c40a82c2
C01-L,L,4.507323937336815,,0.9667673716012085,0.06750565557873645,1.0,0,4127c40a82c2
C01-L,L,9.709726772351917,1.0783719390535218,0.668918918918919,0.6034381873431809,1.4907801883434424,8,4127c40a82c2
C01-L,L,6.642570687401961,,0.9366576819407008,0.46192305945032597,1.0161146051603758,0,4127c40a82c2
C01-L,L,9.109228078995104,1.0646439208488245,0.7205071664829107,0.40776961668402667,1.3600067544638372,8,4127c40a82c2
C01-L,L,10.228745804929392,1.0306473875493432,0.8170550322260783,0.3422155703486358,1.1161234586851156,8,4127c40a82c2
C01-L,L,11.245750641849426,1.0773872235316015,0.7377777777777778,0.5350999880801681,1.4410206817747162,8,4127c40a82c2
C01-L,L,5.925245485177561,1.0708669674660058,0.8229166666666666,0.3371470894567856,1.0706458906918872,6,4127c40a82c2
C01-L,L,9.060309737976617,1.0321909874151984,0.6213358962037482,0.7043930913805034,1.2787079362124936,8,4127c40a82c2
C01-L,L,7.315728332491791,1.0461797531611048,0.7349607672188317,0.20698880073443038,1.3276306361913157,7,4127c40a82c2
C01-L,L,6.826401253096697,,0.9118012422360249,0.19290633117231115,1.0491023944409947,0,4127c40a82c2
C01-L,L,8.44371683421474,1.040056716263125,0.8933969769291965,0.2310845164078591,1.0749094200882394,6,4127c40a82c2
C01-L,L,8.54090314099356,1.0509100288120878,0.8645598194130926,0.4994682360225261,1.1255772234544812,7,4127c40a82c2
C01-L,L,8.499921471804495,1.0629731467114674,0.8967691095350669,0.18953182684094383,1.3505626580542782,6,4127c40a82c2
C01-L,L,8.40603830248076,1.0595648148674774,0.8826328310864393,0.30728629933314944,1.1058456963954424,6,4127c40a82c2
C01-L,L,10.26282622764564,1.0422385320545033,0.7659279778393352,0.057118976623392936,1.4466966659999274,7,4127c40a82c2
C01-L,L,11.444409689338029,1.0699060687393809,0.712607944732297,0.4567175289007319,1.4395120764261609,8,4127c40a82c2
C01-L,L,14.71798288740015,1.0612874915834478,0.5469701827508817,0.4748076031957037,1.65110104643284,8,4127c40a82c2
C01-L,L,9.427744412524733,1.0607484205784032,0.7014028056112225,0.394468235911124,1.2274456589090008,8,4127c40a82c2
C01-L,L,14.456850689907194,1.057263755702682,0.6049246600514516,0.18984256017686452,1.4073856172106263,8,4127c40a82c2
C01-L,L,15.050682881464128,1.0417558789793107,0.8546107784431137,0.26112577379886437,1.1926028553806205,8,4127c40a82c2
C01-L,L,14.544415698294014,1.0476111068269292,0.8923406534547402,0.10554332619047069,1.1313829309196168,8,4127c40a82c2
C01-L,L,9.199386320977345,1.052170189925038,0.9334733893557423,0.15654077239139952,1.0475817981068098,7,4127c40a82c2
C01-L,L,12.5402670677145,1.0393325970526273,0.87743535246192,0.11043867646070349,1.1147572655570153,8,4127c40a82c2
C01-L,L,7.571599912606972,1.0444358133285394,0.9158215010141988,0.3893234019407883,1.1222623256667317,6,4127c40a82c2
C01-L,L,5.439221448613327,,0.9708333333333333,0.20106328015181285,1.0,0,4127c40a82c2
C01-L,L,7.108865808043678,1.0381751479827888,0.9521531100478469,0.19968165825467032,1.0110186968117285,6,4127c40a82c2
C01-L,L,17.616084344634203,1.0664457550469697,0.48801916932907347,0.5123922135999976,2.0556029791172414,8,4127c40a82c2
C01-L,L,7.927958711367745,1.0368006797112306,0.9313264346190028,0.08874193851561174,1.0381337067484846,6,4127c40a82c2
C01-L,L,10.956946643979611,1.0600619073487754,0.7082397003745319,0.4817702463712509,1.4449557201696197,8,4127c40a82c2
C01-L,L,8.168553172642095,1.0515648241285964,0.7739322533136966,0.30635101960843325,1.2060956330220425,7,4127c40a82c2
