sample_id,xrd_instrument,two_theta_offset_applied,zero_offset_hits,hydrate_index,resolution_ratio,D_XRD_reliable,D_XRD,D_XRD_003,D_XRD_104,D_XRD_n_peaks,D_XRD_WH,microstrain_WH,wh_r2,wh_n_peaks,lattice_a,lattice_c,c_a_ratio,zero_shift
C04-M,1,0.02000000000000135,5,0.0,2.3786009268277737,True,48.76822425576293,45.195146722879144,52.34130178864671,2,55.042593656638516,0.00024545353839710443,0.06920469023841769,7,2.98268751680092,16.000195784749096,5.3643553656301535,-0.07266317989944308
C04-S,1,0.02000000000000135,5,0.0,2.169689460934754,True,54.74795312869979,50.83004256330493,58.66586369409466,2,68.36810574083444,0.0004346137791093273,0.26315164668191515,7,2.982594840414987,16.003281471231386,5.365556613450303,-0.07003125871826038
C05-L,2,0.11000000000000143,5,2.0720732695739748,2.156650868479921,True,39.64556748310973,42.00096930554067,37.290165660678795,2,48.55806235978111,0.0008463315652160718,0.4815276349998867,7,2.981723801124498,15.997941447102916,5.365333114042826,-0.07525133662533566
C05-M,2,0.17000000000000148,5,10.046732605558555,2.507313534595464,True,36.05680415393443,34.89892455069058,37.21468375717828,2,34.391505963338886,0.0003082973770083108,0.08015531514362184,7,2.981392100616123,16.01228203436651,5.370740075100311,-0.055603688157692614
C05-S,2,0.14000000000000146,5,0.0,1.8269390719058287,True,49.47405172937121,52.490896296231895,46.45720716251052,2,65.81053135926607,0.0006620323459019205,0.6067248212064614,7,2.9816120423625367,15.9962731917659,5.364974706464812,-0.08325703011855204
C06-L,2,0.0800000000000014,5,8.490561787377606,2.2769925557815887,True,39.776165215323104,39.23343314061885,40.31889729002735,2,43.303223225339636,0.0005318872729747444,0.35663890437990575,7,2.9823487035706058,15.998177150207598,5.364287928857494,-0.05443828703686241
C06-M,2,0.16000000000000147,5,27.565469689592216,2.260767760467438,True,38.98795923551228,39.55640248973308,38.41951598129147,2,38.23027324748378,0.0008793250978374979,0.142147825868858,7,2.984152889137323,16.03979963704696,5.374992580116713,-0.0544954733648038
C06-S,2,0.23000000000000154,5,13.225756389837999,2.973341892621938,True,29.21242074047324,28.65043041854218,29.7744110624043,2,24.368393993179275,0.0,0.08375310330707841,7,2.9806510699278115,16.013978808496415,5.3726445775768905,-0.07834310317555891
C07-L,1,0.02000000000000135,5,0.29924161614864797,2.480070113323412,True,46.19371591044056,42.61238012861341,49.775051692267716,2,53.54114082932514,0.0004685187079831341,0.30494468905209415,7,2.9827097515826027,16.008186158157077,5.36699427413722,-0.059348840751425075
C07-M,1,1.3322676295501878e-15,5,0.0,2.5207441643387902,True,44.62646785790687,40.43006913391375,48.82286658189999,2,51.24541206959799,0.00041790102639085476,0.15564647923561026,7,2.9814085527399565,16.01256289315128,5.370804641462342,-0.054779863071150646
C07-S,1,0.02000000000000135,5,0.0,2.239813027618484,True,51.258439299854565,46.153774173451204,56.36310442625793,2,58.58950495895359,0.0003299132477940866,0.15809603515883586,7,2.982580001681569,16.005652001454493,5.366378099642108,-0.0659223697226721
C08-L,2,0.14000000000000146,5,6.834843106959524,3.2455080064963013,True,27.549363624369853,23.02032956689937,32.078397681840336,2,22.90523019162996,0.0,0.5557479322620958,7,2.9817257846838046,16.01095137510962,5.369692765630187,-0.019149427211800973
C08-M,2,0.21000000000000152,5,4.822109425235716,2.431062821145323,True,37.78297121864796,36.20585153038191,39.360090906914,2,43.40933934037872,0.0005943307946313372,0.4625323365311239,7,2.9792055337818413,15.994587773538418,5.3687426369790225,-0.10015436959630367
C08-S,2,0.16000000000000147,5,86.83737927468322,2.495136870236373,True,32.664025793741104,35.06430841840254,30.263743169079664,2,26.74502666547452,0.0,0.008469251849566706,7,2.976894693969362,16.08836325495201,5.404411277141935,-0.05831077328197585
C09-L,1,0.02000000000000135,5,0.3029729433925319,2.4062562828205616,True,47.56547522436375,43.51806637110421,51.61288407762329,2,52.98661377172894,0.0003359853484820873,0.08985281068618078,7,2.983042413919766,16.00271905451127,5.364563031299122,-0.07158966201924667
C09-M,1,0.02000000000000135,5,0.0,2.2611633495474615,True,50.93858789595886,46.1771478987292,55.70002789318852,2,57.71817253034897,0.00027307219105039194,0.16285975020073862,7,2.9827698329833168,15.998969723125454,5.363796276269682,-0.0755647540990789
C09-S,1,0.060000000000001386,5,0.0,2.103692864013948,True,55.50452587369766,49.97695912503052,61.03209262236481,2,68.68148720641149,0.0004785988144960333,0.18770439294367292,7,2.9829503257112107,16.00162551179185,5.364362045813371,-0.07429585946518316
C10-L,2,0.04000000000000137,5,8.115347885138284,2.4992893013079382,True,35.71195740045752,35.03849837563762,36.38541642527742,2,33.945873161096515,0.00017346342001805007,0.022245021583112923,7,2.9835202572289097,16.014299811879873,5.367585412928933,-0.047918389534825974
C10-M,2,0.16000000000000147,5,0.0,1.6991300583391766,True,55.14697482280969,58.4314476006453,51.86250204497408,2,68.83318253846637,0.0004509116186144594,0.5565896004807805,7,2.983381317474658,15.986485538759249,5.358512317926333,-0.07381865983804564
C10-S,2,0.35000000000000164,5,37.25124746953194,3.047374893898495,True,28.39336594181189,22.401728939246638,34.38500294437714,2,,0.0,0.7777573404860028,7,2.9821583539878094,16.05113897314615,5.382389889417577,-0.017552589099207434
C11-L,2,0.1900000000000015,5,17.225045145053514,3.2106230127891844,True,25.18751343207331,26.29977661771283,24.07525024643379,2,33.36207355053892,0.001792701595586016,0.31713733332498506,7,2.987078868194035,16.036672991229107,5.368680807857195,-0.005399763360718525
C11-M,2,0.0700000000000014,5,4.249087572620903,2.0499454800450287,True,44.34199650371709,44.84748058341487,43.83651242401931,2,51.80076069920189,0.0004943163911389963,0.37924915664139913,7,2.982142183383565,15.985155635084347,5.360292921026136,-0.08919019195584214
C11-S,2,0.4200000000000017,5,61.1566268468768,3.5100393677288353,True,,23.838031461561748,,2,,0.0,0.053274243904248064,7,2.9777817007299587,16.03832750589469,5.3859984101464295,-0.12515683456327817
C12-L,1,0.02000000000000135,5,0.0,2.1302037366178546,True,54.969167356526086,49.8805303874842,60.05780432556797,2,60.81052308532062,0.00022058955998255827,0.09682762064853279,7,2.9835375314204384,15.998748684169229,5.362342023749355,-0.06273285936291187
C12-M,1,0.02000000000000135,5,0.0,2.105888422330922,True,55.09086566414818,49.23184553665662,60.94988579163975,2,63.62559860738829,0.0003045984718608718,0.1579303315933681,7,2.9830979367487775,15.9977548499931,5.362799073043091,-0.07420766453292883
C12-S,1,0.04000000000000137,5,0.12570630970290986,1.9043781311155628,True,63.62196732812889,57.547548839105346,69.69638581715243,2,80.33803292218808,0.000304772373439339,0.1805502927695869,7,2.983182039534054,15.995109665586822,5.361761184404661,-0.07845106991853801
