sample_id,condition_id,precursor,T_C,beta,t_hold,Theta,D_XRD,lattice_a,lattice_c,c0_a,c0_c,c0_c_a_ratio,c0_z_or_k,c0_resid_rms_deg,c1_a,c1_c,c1_c_a_ratio,c1_z_or_k,c1_resid_rms_deg,c2_a,c2_c,c2_c_a_ratio,c2_z_or_k,c2_resid_rms_deg
C21-S,C21,S,950.0,2.0,20.0,47.33688099936123,86.15213448994812,2.9822651390200514,15.99316970348477,2.9822651390200514,15.99316970348477,5.362759163908545,-0.0853999926203649,0.006170749386115081,2.986185490515731,16.021514017119323,5.36521058989953,0.0,0.030005877003812173,2.982967965211247,15.99686779522084,5.362735363498273,-0.08065967416637485,0.006568891415612866
C24-L,C24,L,950.0,5.0,20.0,46.68165271428408,78.398811865349,2.98472893846164,15.975845982086229,2.9847289381620254,15.975845982812327,5.352528257607921,-0.08033863197730884,0.002115139506407198,2.9884234131801852,16.002441551605717,5.35481066070769,0.0,0.026392103678865388,2.985386866841402,15.979292973208981,5.352503272085265,-0.07597419983249128,0.0023811037371772653
C24-M,C24,M,950.0,5.0,20.0,46.68165271428408,74.24289184572605,2.9845703651552,15.978375362373097,2.9845703652937865,15.978375362489132,5.353660127532727,-0.0837558403835066,0.0026430320359893075,2.9884217447810273,16.006114690830284,5.356042773675879,0.0,0.02739174339978186,2.9852533910034937,15.981947751120053,5.353631889099946,-0.07927629081875884,0.0028387264452030938
C24-S,C24,S,950.0,5.0,20.0,46.68165271428408,76.31454779911329,2.9834021559876667,15.979632969133071,2.9834021559876667,15.979632969133071,5.356177991982094,-0.08396803075072085,0.0032286809991567923,2.987259800316616,16.00744897654021,5.358572754483424,0.0,0.027396401411043735,2.9840872507733804,15.983218871645857,5.356149981038093,-0.0794628496262866,0.0033273452100432152
C25-L,C25,L,950.0,8.0,10.0,23.39542871423181,64.66440026483657,2.9847844218591786,15.983764336972486,2.9847844218591786,15.983764336972486,5.355081666841598,-0.07000140926688196,0.002386495420809633,2.988003082517213,16.00695901690713,5.357075804427293,0.0,0.022756102455345924,2.985357355565195,15.986766274017125,5.355059502077758,-0.06621002763683581,0.002484629678194254
C25-M,C25,M,950.0,8.0,10.0,23.39542871423181,63.618150662800616,2.984287727428112,15.98441804520543,2.984287727428112,15.98441804520543,5.356191997941484,-0.08644515617846664,0.004608478625654634,2.9882621125906774,16.013074976125253,5.358658100524756,0.0,0.027851139517340095,2.9849890978791427,15.98807948227013,5.3561600923868635,-0.08190936155240597,0.004593263208642046
C25-S,C25,S,950.0,8.0,10.0,23.39542871423181,66.52566013864217,2.9842464671775013,15.98554859642026,2.9842464664937007,15.985548592606314,5.356644892467047,-0.06805493614878817,0.006544609986327835,2.9873742437610566,16.008103244610528,5.358586483780011,0.0,0.0250284931385801,2.9848082639590716,15.988504544213228,5.356627002568653,-0.0642471467429977,0.006854478890791762
C26-L,C26,L,950.0,8.0,15.0,34.956637178623296,92.21019730274314,2.982032305078609,15.98618514044149,2.9820323046937003,15.986185140861423,5.3608356675745155,-0.09264264312030157,0.0018970227417238871,2.986284766476387,16.016909333666803,5.363490285143056,0.0,0.029939635864631938,2.9827873738576103,15.990139344576018,5.360804288203797,-0.08768151949002323,0.002104076007524671
C26-M,C26,M,950.0,8.0,15.0,34.956637178623296,94.8174700032029,2.982023022874905,15.984687377879965,2.982023022874905,15.984687377879965,5.360350089607782,-0.0965912232483582,0.0022867845681985217,2.986456966013776,16.01671761908173,5.36311683086474,0.0,0.030284037738326008,2.982806174052164,15.988778489572114,5.360314266699818,-0.0915201737946137,0.001973491143889331
C26-S,C26,S,950.0,8.0,15.0,34.956637178623296,88.73256152812583,2.981257120922022,15.989460998890934,2.981257121205446,15.98946099931602,5.363328404512394,-0.09039645105927699,0.0016192374973790012,2.985403823823938,16.019453677224014,5.365925222372446,0.0,0.029424940560025026,2.9819955686763526,15.9933340590578,5.363299069608248,-0.08550991398883427,0.0019443983505933063
C27-L,C27,L,950.0,8.0,20.0,46.5178456430148,67.33347971423304,2.9841181834764434,15.983113562532576,2.9841181834764434,15.983113562532576,5.35605917052271,-0.07400536979966918,0.0031798390507202464,2.987519440394906,16.007635199506925,5.358169383959206,0.0,0.023696000100459653,2.9847224438891145,15.986277002455228,5.356034707744883,-0.07002927141626406,0.0031722555321062875
C27-M,C27,M,950.0,8.0,20.0,46.5178456430148,62.79365392084625,2.9846362453511217,15.988059947072118,2.9846362453511217,15.988059947072118,5.356786768228513,-0.07464292322742769,0.008309736301077472,2.9880682663433817,16.012810031266294,5.3589170674677415,0.0,0.02798562761429724,2.9852523351580316,15.991301461495729,5.356767089053861,-0.07046869175768508,0.008621547739657051
C27-S,C27,S,950.0,8.0,20.0,46.5178456430148,67.17278938574142,2.984208980142135,15.984711510071438,2.9842089813984076,15.984711520952972,5.356431677738097,-0.06984977052873793,0.006911733449667606,2.987419240174681,16.007859386236024,5.358424144479972,0.0,0.025264645309763797,2.984784446244951,15.987736576854756,5.356412452821625,-0.06596974302239318,0.007146996136483652
