sample_id,precursor,condition,Theta,n,numD50,volD10,volD50,volD90,volD50_sd,laserD50,Span,disp_ratio
C02-S,S,C02,6.181622071984794,2609,4.208679785659095,3.9439084451697126,6.463335935313042,9.168278030923805,0.08812416833429038,,0.8083085326279048,
C09-S,S,C09,8.06781902846315,2603,3.9998532032338936,3.911580781529363,6.723319953289373,9.94871156696048,0.10641685032285166,1.93,0.8979389390025178,3.483585468025582
C06-S,S,C06,8.091958930119292,1923,4.879321291024226,4.807225272862896,7.899880853887119,10.725631678057775,0.10605408391199239,,0.7491766666686803,
C03-S,S,C03,8.188518536743857,2822,4.08621916744697,3.887158602416619,6.478053227845328,9.457999330627825,0.11385104482412575,1.76,0.8599559979324418,3.680712061275755
C16-S,S,C16,10.108991714280393,2153,4.414819682883245,4.450625781751057,7.508449519451283,11.28519965023817,0.11836962568848886,1.87,0.9102510246331899,4.015213646765392
C13-S,S,C13,10.174386742848624,2756,4.117175815757948,3.887158602416619,6.289089941717453,8.986432945137661,0.08000964144523648,2.14,0.8108127551008611,2.938827075568903
C10-S,S,C10,10.435966857121558,2859,3.967981355043056,3.77950602018642,6.202690258093208,8.947492142520437,0.10900561454775977,1.93,0.8331846194626406,3.213829149271092
C17-S,S,C17,15.10899171428039,2078,4.611754560525867,4.514361137464771,7.414856122148768,10.75813814423049,0.0962788755746111,2.34,0.842063137019619,3.1687419325422086
C14-S,S,C14,15.174386742848624,3013,3.911580781529363,3.737275577183397,6.146137404976707,9.133588999877992,0.0963747057739766,1.77,0.8780007779072825,3.4723940141111336
C11-S,S,C11,15.435966857121558,2861,4.0550261985540725,3.79626666125431,6.08384386391535,8.84041817673698,0.06282109286993456,2.09,0.8291060106589307,2.910930078428397
C18-S,S,C18,20.10899171428039,1883,4.975950895204253,4.820413844347526,7.753874578851027,11.240103766955675,0.11792482497505938,3.28,0.8279331651969307,2.363986152088728
C15-S,S,C15,20.174386742848625,2415,4.2237377220823085,4.101726696299568,6.835695200563416,9.745622372671647,0.10450038771944258,2.71,0.8256505755123333,2.52239675297543
C12-S,S,C12,20.43596685712156,2290,4.591058474517919,4.356917902080675,6.9508210996309785,10.021829779033228,0.11352286739061314,2.48,0.8149989469953851,2.8027504433995882
C25-S,S,C25,23.39542871423181,1818,5.061339489010519,4.988693427963836,7.939961683738786,11.115146735152392,0.14874302083256322,2.55,0.7715973390319584,3.1137104642112887
C22-S,S,C22,23.55923578550109,1472,5.56328149565903,5.404091556115475,8.514846718543687,12.310338412365224,0.13136160778859246,,0.8110829336726968,
C19-S,S,C19,24.21446407057823,1662,5.29730085771403,5.095718592639985,7.971881256400041,11.22314609509092,0.14530726484985748,2.64,0.768630051724826,3.0196519910606217
C26-S,S,C26,34.956637178623296,1501,5.427536748869573,5.339086448999304,8.555756896808417,12.020704224532194,0.15884192941243863,3.15,0.7809499330240854,2.7161133005741007
C23-S,S,C23,35.12044424989258,962,6.886587711776878,6.737469362037007,10.77288138555145,14.694238967595878,0.2513904342425466,,0.7385925195677417,
C20-S,S,C20,35.77567253496972,1609,5.303293287167072,5.132959418849276,8.218917031945109,11.957158206404204,0.11480284939551426,,0.8303038905284942,
C27-S,S,C27,46.5178456430148,1833,4.833566430442728,4.846683324112317,8.113965570989464,12.054985122238945,0.13253053970996384,1.67,0.8883821030617961,4.858662018556566
C24-S,S,C24,46.68165271428408,2320,4.450625781751057,4.335005351251914,7.064070996468304,10.141478859007831,0.11643316702576967,1.73,0.8219726996881649,4.083278032640639
C21-S,S,C21,47.33688099936123,1501,5.548999065682753,5.380544204207179,8.398482311468427,11.5383311120694,0.1443712869740183,3.61,0.7332023429344542,2.3264493937585673
