sample_id,precursor,n_img_500x,D_sec_old,aspect_ratio_old,circularity_old,convexity_old,n_sec_old,img_h_old,D_sec_new,aspect_ratio_new,circularity_new,convexity_new,n_sec_new,img_h_new
C21-S,S,3,39.21792745501344,3.369908899121981,0.0838251777898227,0.6926770708283314,11,766,7.041566730943534,1.7132016227274425,0.3874160349537313,0.7491926803013993,1015,690
C24-L,L,3,16.261654703259985,1.7905849109523793,0.2040671958210435,0.7412127098248065,92,766,10.631994245216962,1.5338444985056647,0.4287848168353556,0.8173821223226265,514,690
C24-M,M,3,18.721759608089634,1.956670887598896,0.1485698294462767,0.6644250092095195,70,766,10.868224869945932,1.5813980679421211,0.32837707618709,0.7519140107759513,442,690
C24-S,S,3,39.8848826757854,4.141935759872063,0.0998179025045689,0.8036382132064745,9,766,5.957302953501169,1.6923792371673263,0.4310865717782083,0.76375,1309,690
C25-L,L,3,17.539281742462272,1.7490595928667678,0.2300155970319345,0.74137280284829,114,766,10.88136054322178,1.550032622029835,0.4328770458126553,0.8249097472924188,489,690
C25-M,M,3,15.601623865323289,1.6223463023528126,0.2353585820489156,0.7362410866918743,90,766,10.261273860710286,1.5699916438109671,0.3584577341188018,0.7699244139691419,496,690
C25-S,S,3,38.38487572049088,3.910889452048581,0.08928499089283329,0.7704014974414239,10,766,6.807775294090504,1.666371424847762,0.38812358084540294,0.7505720823798627,1051,690
C26-L,L,3,19.839906775215276,1.6861415688895862,0.1396858277045051,0.6718503937007874,47,766,10.959843391325391,1.583595307572504,0.355413584181643,0.7802056555269924,469,690
C26-M,M,3,22.91376934967677,1.9061920936822536,0.12468249181926734,0.6578377821292384,45,766,11.694079946009307,1.581478019356057,0.31150665637801866,0.7599823278264758,398,690
C26-S,S,3,38.24199378534317,3.909036652537024,0.07822808579432078,0.704963793960619,10,766,6.8472756702784805,1.6923622636852371,0.37713557724301827,0.748528507928908,1002,690
C27-L,L,3,15.461233850049165,1.4611830250582605,0.30243461055411247,0.7795838262365595,108,766,10.70341065164719,1.5302322137812023,0.441730933670349,0.8266972040336527,498,690
C27-M,M,3,17.21324232950004,1.5807223608998977,0.18271940521583493,0.7469834556536882,81,766,11.005951232597512,1.6180704511967408,0.3273588329918735,0.7503729401065053,440,690
C27-S,S,3,37.811854275211026,3.770639361703738,0.09642884610365862,0.7657132103876552,11,766,6.916481116827303,1.7210738537615915,0.3669696880348591,0.736530279746151,930,690
