sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C08-M,926,6.58979391939848,3,percentile_80,80.0,0.082
C08-S,2905,3.935851422566431,3,percentile_80,80.0,0.082
C09-L,626,8.483098974495206,3,percentile_80,80.0,0.082
C09-M,624,7.602929977958366,3,percentile_80,80.0,0.082
C09-S,2600,3.9998532032338936,3,percentile_80,80.0,0.082
C10-L,661,8.592778951591422,3,percentile_80,80.0,0.082
C10-M,630,8.117853313428188,3,percentile_80,80.0,0.082
C10-S,2859,3.9679813550430554,3,percentile_80,80.0,0.082
C11-L,604,8.679157447102764,3,percentile_80,80.0,0.082
C11-M,751,7.099929455286646,3,percentile_80,80.0,0.082
C11-S,2861,4.0550261985540725,3,percentile_80,80.0,0.082
C12-L,615,8.184082755430348,3,percentile_80,80.0,0.082
C12-M,871,6.79377231328374,3,percentile_80,80.0,0.082
C12-S,2333,4.549383858971028,3,percentile_80,80.0,0.082
C13-L,510,9.528219965427802,3,percentile_80,80.0,0.082
C13-M,574,8.726576477957433,3,percentile_80,80.0,0.082
C13-S,2758,4.113317165865251,3,percentile_80,80.0,0.082
C14-L,712,8.02149911626119,3,percentile_80,80.0,0.082
C14-M,758,7.300525350717879,3,percentile_80,80.0,0.082
C14-S,3001,3.9196876934001574,3,percentile_80,80.0,0.082
C15-L,649,8.421129945335407,3,percentile_80,80.0,0.082
C15-M,620,7.73337791445228,3,percentile_80,80.0,0.082
C15-S,2454,4.193567780719649,3,percentile_80,80.0,0.082
C16-L,577,8.926180102389168,3,percentile_80,80.0,0.082
C16-M,651,7.810979108385268,3,percentile_80,80.0,0.082
C16-S,2198,4.385964343097444,3,percentile_80,80.0,0.082
C17-L,525,9.484811572459337,3,percentile_80,80.0,0.082
C17-M,511,9.2372652944243,3,percentile_80,80.0,0.082
C17-S,2153,4.521387384732147,3,percentile_80,80.0,0.082
C18-L,454,10.236495564858316,3,percentile_80,80.0,0.082
C18-M,572,8.318716047765337,3,percentile_80,80.0,0.082
C18-S,2016,4.853228476755571,3,percentile_80,80.0,0.082
C19-L,390,10.913337659541071,3,percentile_80,80.0,0.082
C19-M,458,9.462924051386988,3,percentile_80,80.0,0.082
C19-S,1820,5.095718592639985,3,percentile_80,80.0,0.082
C20-L,447,10.194551451872224,3,percentile_80,80.0,0.082
C20-M,516,9.206284353651158,3,percentile_80,80.0,0.082
C20-S,1758,5.120575904019775,3,percentile_80,80.0,0.082
C21-L,393,10.849223282548534,3,percentile_80,80.0,0.082
C21-M,665,7.959926416497451,3,percentile_80,80.0,0.082
C21-S,1684,5.227936297485919,3,percentile_80,80.0,0.082
C22-L,381,11.200495928522644,3,percentile_80,80.0,0.082
C22-M,351,10.69302639370005,3,percentile_80,80.0,0.082
C22-S,1626,5.300298767133764,3,percentile_80,80.0,0.082
C23-L,378,10.597521312401442,3,percentile_80,80.0,0.082
C23-M,630,8.345391019778166,3,percentile_80,80.0,0.082
C23-S,1202,6.0812338918072095,3,percentile_80,80.0,0.082
C24-L,501,9.761894920942964,3,percentile_80,80.0,0.082
C24-M,537,8.929735641308262,3,percentile_80,80.0,0.082
C24-S,2269,4.457752488928697,3,percentile_80,80.0,0.082
