sample_id,filename,mag_raw,mag_bucket,pixel_um,pixel_source,mag_read_error,pixel_read_error
C09-L,C09-L-004.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-L,C09-L-005.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-L,C09-L-006.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-L,C09-L-007.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-L,C09-L-008.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-L,C09-L-009.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-L,C09-L-010.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-L,C09-L-011.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-L,C09-L-012.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-M,C09-M-001.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-M,C09-M-002.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-M,C09-M-003.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-M,C09-M-004.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-M,C09-M-005.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-M,C09-M-006.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-M,C09-M-007.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-M,C09-M-008.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-M,C09-M-009.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-M,C09-M-010.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-M,C09-M-011.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-M,C09-M-012.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-S,C09-S-001.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-S,C09-S-002.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-S,C09-S-003.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-S,C09-S-004.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
C09-S,C09-S-005.tif,10000.0,10000x,0.01116,meta:ap_image_pixel_size(11.16nm),,
C09-S,C09-S-006.tif,5000.0,5000x,0.02233,meta:ap_image_pixel_size(22.33nm),,
C09-S,C09-S-007.tif,2000.0,2000x,0.05582,meta:ap_image_pixel_size(55.82nm),,
C09-S,C09-S-008.tif,500.0,500x,0.22330000000000003,meta:ap_image_pixel_size(223.3nm),,
