sample_id,precursor,T_C,beta,t_hold,Theta,xrd_instrument,D_XRD,D_XRD_003,D_XRD_104,two_theta_003,fwhm_003,eta_003,D_003_gauss,D_003_lorentz,two_theta_104,fwhm_104,eta_104,D_104_gauss,D_104_lorentz,D_XRD_gauss_reimpl,D_XRD_lorentz,diff_003_vs_master,diff_104_vs_master,diff_DXRD_vs_master
C15-S,S,900.0,5.0,20.0,20.174386742848625,1,69.51335331914211,63.11888717923822,75.907819459046,16.523012067842217,0.14978333826703627,0.5277327938244186,63.11888717923822,113.60211445013944,41.50372027446843,0.13484003519738577,5.648162037282926e-18,75.907819459046,142.4652576609692,69.51335331914211,128.0336860555543,0.0,0.0,0.0
C16-L,L,900.0,8.0,10.0,10.108991714280393,1,56.17777960810484,49.68230532790251,62.67325388830717,16.533525655357355,0.1799099037820148,0.6348283877727111,49.68230532790251,79.64507866943933,41.4897348972311,0.1550120516897749,0.3110316158735004,62.67325388830717,106.4501395093902,56.17777960810484,93.04760908941476,0.0,0.0,0.0
C16-M,M,900.0,8.0,10.0,10.108991714280393,1,53.7190570639476,45.76470023982183,61.67341388807336,16.526514351846203,0.19242788680526823,0.703469146832283,45.76470023982183,70.84677998916547,41.48933550787279,0.15693697902887563,0.33899354388897684,61.67341388807336,103.94281274151703,53.719057063947595,87.39479636534125,0.0,0.0,-7.105427357601002e-15
C16-S,S,900.0,8.0,10.0,10.108991714280393,1,61.33196148001568,52.99219598237514,69.6717269776562,16.541294301140002,0.17090393290058367,0.7036286102612485,52.992195982375144,87.4587294580148,41.500106894964254,0.1432623070319841,0.11263338341218757,69.6717269776562,124.83270496049462,61.33196148001568,106.14571720925471,7.105427357601002e-15,0.0,0.0
C17-L,L,900.0,8.0,15.0,15.10899171428039,1,74.97308575012147,63.80920105632072,86.13697044392224,16.52819443864936,0.1486168467213503,0.48137247286066276,63.80920105632072,115.50751159074034,41.5110213046184,0.12403215123258472,1.4653001943573347e-28,86.13697044392224,174.00516893587633,74.97308575012147,144.75634026330835,0.0,0.0,0.0
C17-M,M,900.0,8.0,15.0,15.10899171428039,1,73.33313393096773,64.14515436228423,82.52111349965124,16.522331498575117,0.14805948689256732,0.5549960048126278,64.14515436228423,116.44293296109687,41.503330811548274,0.12749373941761988,1.2620940371030298e-20,82.52111349965124,162.48212689861145,73.33313393096773,139.46252992985416,0.0,0.0,0.0
C17-S,S,900.0,8.0,15.0,15.10899171428039,1,71.74829598452918,61.94783428461686,81.5487576844415,16.530600590943532,0.15183016473937547,0.6149826452203699,61.94783428461686,110.40238153862805,41.51126797664167,0.12848895143183617,2.5943424942003718e-23,81.5487576844415,159.45015126381728,71.74829598452918,134.92626640122268,0.0,0.0,0.0
C18-L,L,900.0,8.0,20.0,20.10899171428039,1,79.22248543008467,67.86671847039621,90.57825238977316,16.51673711150349,0.14230624901155894,0.4370568710141946,67.86671847039621,127.04714324609397,41.51611153462025,0.12022342875976486,4.838209490027138e-30,90.57825238977316,188.72981587108788,79.22248543008467,157.88847955859092,0.0,0.0,0.0
C18-M,M,900.0,8.0,20.0,20.10899171428039,1,76.23265690898472,64.68049554713151,87.78481827083792,16.524014394048944,0.14718501929296673,0.4589193077942027,64.68049554713151,117.93845812465057,41.521813604508836,0.12256746783570269,9.649152520433866e-29,87.78481827083792,179.3910064904674,76.23265690898472,148.66473230755898,0.0,0.0,0.0
C18-S,S,900.0,8.0,20.0,20.10899171428039,1,81.0888618858873,71.27931407946151,90.8984096923131,16.52052259082552,0.13763517417181223,0.4277965096848776,71.27931407946151,137.18754258383197,41.52817130334323,0.11996839919350806,4.390650167268678e-28,90.8984096923131,189.81015330522058,81.0888618858873,163.4988479445263,0.0,0.0,0.0
C19-L,L,950.0,2.0,10.0,24.21446407057823,1,88.89151542137708,77.47686940272547,100.30616144002867,16.48940867469835,0.13036802088454852,0.31121589479932277,77.47686940272547,156.65874330939175,41.510052169688876,0.11326865505244976,1.784033112322924e-38,100.30616144002867,223.21348356145046,88.89151542137708,189.9361134354211,0.0,0.0,0.0
C19-M,M,950.0,2.0,10.0,24.21446407057823,1,86.16270960671758,73.11850387151665,99.20691534191852,16.50033927484571,0.1353276619906963,0.3183102939840988,73.11850387151665,142.82865367747928,41.515081910400255,0.11397299949428391,8.21141763543852e-34,99.20691534191853,219.1599743727536,86.16270960671758,180.99431402511644,0.0,1.4210854715202004e-14,0.0
C19-S,S,950.0,2.0,10.0,24.21446407057823,1,86.12093455068668,73.94039146827258,98.3014776331008,16.51229596569587,0.13433914360002874,0.3670466996696009,73.94039146827258,145.38015249574022,41.52692287829446,0.11456901792034938,1.3293985364025966e-21,98.3014776331008,215.84658277524383,86.12093455068668,180.613367635492,0.0,0.0,0.0
C21-L,L,950.0,2.0,20.0,47.33688099936123,1,96.1417883771721,83.88802784535,108.3955489089942,16.52666984419812,0.12416574003393746,0.2691521518834226,83.88802784535,178.20440663491365,41.51866326071649,0.10862473009799198,5.921578556746486e-34,108.3955489089942,254.23773123325216,96.1417883771721,216.2210689340829,0.0,0.0,0.0
C21-M,M,950.0,2.0,20.0,47.33688099936123,1,89.77657726288247,77.5995490512265,101.95360547453843,16.52470662797388,0.13023622780869165,0.3859030125546951,77.5995490512265,157.0427934462756,41.51723075545598,0.11225019950717077,4.6340273548596045e-34,101.95360547453843,229.35389363368918,89.77657726288247,193.19834353998237,0.0,0.0,0.0
C21-S,S,950.0,2.0,20.0,47.33688099936123,1,86.15213448994812,73.63929061038466,98.6649783695116,16.519148684389975,0.13469791297716027,0.41867480115285544,73.63929061038466,144.43848054412553,41.508077285032805,0.11432557673008287,4.13993385908952e-19,98.66497836951159,217.1815383492785,86.15213448994812,180.810009446702,0.0,-1.4210854715202004e-14,0.0
C24-L,L,950.0,5.0,20.0,46.68165271428408,1,78.398811865349,69.22490409451505,87.57271963618295,16.551059160935424,0.14038260388702106,0.5197419956812597,69.22490409451505,131.02397261966098,41.499921897408996,0.12274775908480955,2.480454925862761e-29,87.57271963618295,178.70186295179255,78.398811865349,154.86291778572678,0.0,0.0,0.0
C24-M,M,950.0,5.0,20.0,46.68165271428408,1,74.24289184572605,64.38934955927935,84.09643413217275,16.543911322495088,0.14765854731433828,0.5716828147871318,64.38934955927935,117.11815289894857,41.494588420863344,0.12593961577417587,5.822230289289155e-20,84.09643413217275,167.45631225316274,74.24289184572605,142.28723257605566,0.0,0.0,0.0
C24-S,S,950.0,5.0,20.0,46.68165271428408,1,76.31454779911329,65.26159397548842,87.36750162273815,16.54333621427131,0.1462543074021348,0.5468111712107923,65.26159397548842,119.5678590030346,41.50476239035115,0.12292900335483878,3.3917994423236185e-28,87.36750162273815,178.0250858455193,76.31454779911329,148.79647242427694,0.0,0.0,0.0
C25-L,L,950.0,8.0,10.0,23.39542871423181,1,64.66440026483657,58.37585843262831,70.95294209704484,16.553313152187354,0.15865228950809404,0.5819843020937844,58.375858432628306,100.9283160091498,41.50535680563889,0.14139467507387013,0.07523409788473251,70.95294209704484,128.35695062040077,64.66440026483657,114.64263331477528,-7.105427357601002e-15,0.0,0.0
C25-M,M,950.0,8.0,10.0,23.39542871423181,1,63.618150662800616,56.96897354497637,70.26732778062485,16.53733612365995,0.16160440842449794,0.5626513330459101,56.96897354497637,97.31914420438098,41.49393519317646,0.1423817508861441,0.06906820883170675,70.26732778062485,126.46711386361113,63.618150662800616,111.89312903399605,0.0,0.0,0.0
C25-S,S,950.0,8.0,10.0,23.39542871423181,1,66.52566013864217,57.12885110048158,75.92246917680275,16.540882965061044,0.16126078047335032,0.6323375755506231,57.12885110048158,97.72564167320724,41.505101146993276,0.13482249716572292,2.87985478750906e-17,75.92246917680275,142.50765532340168,66.52566013864217,120.11664849830446,0.0,0.0,0.0
C26-L,L,950.0,8.0,15.0,34.956637178623296,1,92.21019730274314,79.72216159654988,104.6982330089364,16.529665872708527,0.12805908358552512,0.3547230794937903,79.72216159654988,164.02590440012452,41.5080422386832,0.11063672922645132,2.167359443234968e-37,104.6982330089364,239.79477881324874,92.21019730274314,201.91034160668664,0.0,0.0,0.0
C26-M,M,950.0,8.0,15.0,34.956637178623296,1,94.8174700032029,83.44843680411421,106.1865032022916,16.532427447022197,0.12455429638230732,0.339398910047309,83.44843680411421,176.67617117230662,41.50494297657367,0.10980486598234564,4.5521682941912943e-35,106.18650320229159,245.5591713612067,94.8174700032029,211.11767126675664,0.0,-1.4210854715202004e-14,0.0
C26-S,S,950.0,8.0,15.0,34.956637178623296,1,88.73256152812583,75.47422478339914,101.99089827285252,16.527294909227635,0.13256184058115314,0.3871569761518977,75.47422478339914,150.20760951693782,41.515709840277204,0.11222732204226557,1.7092002711975559e-32,101.99089827285252,229.49494808743194,88.73256152812583,189.85127880218488,0.0,0.0,0.0
C27-L,L,950.0,8.0,20.0,46.5178456430148,1,67.33347971423304,59.91447041518736,74.75248901327872,16.551566585704744,0.15560106791191233,0.5826771400133783,59.91447041518736,104.95480463659192,41.50834452896471,0.1362804483714652,2.54863531957881e-15,74.75248901327872,139.10673375671416,67.33347971423304,122.03076919665304,0.0,0.0,0.0
C27-M,M,950.0,8.0,20.0,46.5178456430148,1,62.79365392084625,54.368269355265376,71.21903848642714,16.530543329782653,0.16751416610112593,0.6667626725654493,54.368269355265376,90.81393722490142,41.490721444366606,0.14101155768682055,0.06715273074162881,71.21903848642714,129.0994629217353,62.79365392084625,109.95670007331836,0.0,0.0,0.0
C27-S,S,950.0,8.0,20.0,46.5178456430148,1,67.17278938574142,57.919953998223626,76.42562477325922,16.542892579005898,0.15959117363235206,0.7069756685656735,57.919953998223626,99.75275460737079,41.501280825075746,0.13421066105193927,8.32897575621412e-17,76.42562477325922,143.98407045356987,67.17278938574142,121.86841253047032,0.0,0.0,0.0
