sample_id,precursor,filename,d_um,D_f,r2,n_scales
C01-L,L,C01-L-08.tif,14.116903313254111,1.0732671282334214,0.9515267999937004,8
C01-L,L,C01-L-08.tif,14.286777166713845,1.0521085878634109,0.9252567578641426,8
C01-L,L,C01-L-08.tif,13.17958783879696,1.0788111392136643,0.8933903044680903,8
C01-L,L,C01-L-08.tif,15.059116999739672,1.0711433517098454,0.8900887185443915,8
C01-L,L,C01-L-08.tif,11.718500478887735,1.091006118166254,0.9091212324854376,8
C01-L,L,C01-L-08.tif,9.41089409626298,1.0518007051530467,0.8725999556493091,8
C01-L,L,C01-L-08.tif,5.1944341779621475,,,0
C01-L,L,C01-L-08.tif,11.089413885039368,1.0497535375421816,0.8387110536105001,6
C01-L,L,C01-L-08.tif,5.600247964261322,,,0
C01-L,L,C01-L-08.tif,10.434600939526478,1.0595612049351926,0.8633863128705535,6
C01-L,L,C01-L-08.tif,7.903898083159667,1.0214392550698022,0.8577513829738267,6
C01-L,L,C01-L-08.tif,8.106137334173212,1.0740632024645769,0.853608684942752,7
C01-L,L,C01-L-08.tif,7.8636334397876935,1.0359594542039465,0.9002354580740421,6
C01-L,L,C01-L-08.tif,11.560319376152671,1.06896580395703,0.8476169378393619,8
C01-L,L,C01-L-08.tif,6.623427792592039,1.1009069566793601,0.8212424748535126,6
C01-L,L,C01-L-08.tif,7.228425344953597,1.0487122235672777,0.693025209162148,5
C01-L,L,C01-L-08.tif,9.709726772351917,1.0342802092609094,0.8007768030812557,8
C01-L,L,C01-L-08.tif,14.733072731013824,1.0578411032960433,0.9443090392299626,8
C01-L,L,C01-L-08.tif,10.96852904324309,1.0472979548129395,0.7947646440446361,7
C01-L,L,C01-L-08.tif,12.626039356977284,1.0762451441261767,0.952580691706494,8
C01-L,L,C01-L-08.tif,12.47936698911039,1.080108863233091,0.7906977239758292,8
C01-L,L,C01-L-08.tif,6.560827652054618,,,0
C01-L,L,C01-L-08.tif,7.891840260603777,1.092395228373175,0.7348353049509533,7
C01-L,L,C01-L-08.tif,9.199386320977345,1.0790606725162855,0.7179273024649648,6
C01-L,L,C01-L-08.tif,10.38275545845127,1.0559840264585896,0.8622990868232159,6
C01-L,L,C01-L-08.tif,12.992805914875767,1.0429615187585157,0.8741808972820104,8
C01-L,L,C01-L-08.tif,10.701928595652946,1.0806399043844557,0.8208945234166863,7
C01-L,L,C01-L-08.tif,5.243095045493981,,,0
C01-L,L,C01-L-08.tif,8.62228214209062,1.0602954987256101,0.9395514124565519,7
C01-L,L,C01-L-08.tif,12.870067419150987,1.0378867025012195,0.8755107410959071,8
C01-L,L,C01-L-08.tif,7.376225639302396,1.0312986558526658,0.6342067848289317,6
C01-L,L,C01-L-08.tif,13.717749945500481,1.049584425303322,0.9612013373210598,8
C01-L,L,C01-L-08.tif,10.728590881225701,1.0567149568221712,0.940317625623216,8
C01-L,L,C01-L-08.tif,12.02334468677701,1.0637420246253393,0.9205291934207577,7
C01-L,L,C01-L-08.tif,13.399342398414202,1.0591925175634376,0.7557777542988251,6
C01-L,L,C01-L-08.tif,15.929819560843422,1.0515701151866321,0.8955158799748961,8
C01-L,L,C01-L-08.tif,7.835325076332686,,,0
C01-L,L,C01-L-08.tif,9.667132860885456,1.055219021293202,0.9735436231049378,8
C01-L,L,C01-L-08.tif,14.577116966506889,1.0675413920990149,0.8882110614263292,8
C01-L,L,C01-L-08.tif,10.761088408414357,1.0493866160367702,0.9633651219295137,8
C01-L,L,C01-L-08.tif,7.188793107142709,1.0796285761170403,0.7984162541820738,6
C01-L,L,C01-L-08.tif,6.073399489064991,,,0
C01-L,L,C01-L-08.tif,11.601435046109277,1.083132880815424,0.8928421306532017,8
C01-L,L,C01-L-08.tif,7.4957555974071,1.0505473113212245,0.5822655689365849,6
C01-L,L,C01-L-08.tif,11.623303934595999,1.0434199281605663,0.7667952717411014,8
C01-L,L,C01-L-08.tif,9.216623335007187,1.080924385876184,0.8236389865269622,8
C01-L,L,C01-L-08.tif,10.49526773524251,1.0649238595592585,0.8352994955322184,7
C01-L,L,C01-L-08.tif,11.829042100337881,1.026008158767101,0.7056354869509038,6
C01-L,L,C01-L-08.tif,7.915937538855608,1.0360804671327573,0.8879023144474292,7
C01-L,L,C01-L-08.tif,9.346585848703505,1.0863562057237255,0.8979718898732502,8
C01-L,L,C01-L-08.tif,6.278986979464608,1.033220255052558,0.7495839628867464,6
C01-L,L,C01-L-08.tif,12.653664737179104,1.059247770096156,0.9185977291971932,8
C01-L,L,C01-L-08.tif,7.745682421699629,1.0799148271690324,0.9105487518205458,8
C01-L,L,C01-L-08.tif,4.652870570594867,,,0
C01-L,L,C01-L-08.tif,15.517980569488504,1.0573063026077232,0.9503831627201429,8
C01-L,L,C01-L-08.tif,7.10439903675249,1.1026073134629901,0.8518567109741464,7
C01-L,L,C01-L-08.tif,13.460796751952415,1.0611547211537955,0.8868880409343184,8
C01-L,L,C01-L-08.tif,8.710192134420545,,,0
