sample_id,hkl,precursor,two_theta_obs,two_theta_calc,residual_deg,fwhm,eta,cos_theta,sin_theta,D_XRD
C16-M,015,M,44.990966049689405,44.986519907428,0.004446142261407715,0.1650512426908119,0.4785761512127523,0.9239096989052548,0.38261059612718723,53.7190570639476
C16-M,107,M,53.41927878397624,53.41605557653881,0.0032232074374292097,0.20168252679269477,0.29213863301766146,0.8932957826484634,0.4494692922797609,53.7190570639476
C16-M,018,M,58.2306057504975,58.234969692302684,-0.004363941805181071,0.21354135043873126,0.27566937742152486,0.8736422987153617,0.4865687350162757,53.7190570639476
C16-M,110,M,62.079508090509606,62.07651590330741,0.0029921872021958507,0.1919933649082564,1.1944721664333948e-30,0.8568097409123444,0.5156326869756428,53.7190570639476
C16-M,113,M,64.74978744650517,64.75154833662356,-0.0017608901183905346,0.21089117335718421,6.4653831640467685e-21,0.8445626368744137,0.5354567698663799,53.7190570639476
C16-L,003,L,16.533525655357355,16.545211436212178,-0.011685780854822525,0.1799099037820148,0.6348283877727111,0.9896093633263714,0.14378215472294842,56.17777960810484
C16-L,006,L,33.53468251702999,33.53060589807141,0.004076618958585243,0.15492448512512885,0.5511381828053747,0.9574840908718245,0.2884860754479422,56.17777960810484
C16-L,101,L,35.059342361227195,35.058937412319345,0.0004049489078497004,0.13528792237415102,0.13142809600842958,0.9535610994282875,0.30119965082502287,56.17777960810484
C16-L,012,L,36.42063790239025,36.42273800420189,-0.0021001018116422188,0.13914869937259006,0.2710451973284717,0.9499157847014494,0.3125060031023876,56.17777960810484
C16-L,104,L,41.4897348972311,41.49328476965326,-0.003549872422155431,0.1550120516897749,0.3110316158735004,0.9351669432970277,0.3542072672383979,56.17777960810484
C16-L,015,L,44.98863084255074,44.98393306024986,0.004697782300880249,0.16143749989438555,0.28794759477074616,0.9239174957536386,0.38259176812932766,56.17777960810484
C16-L,107,L,53.416966425825414,53.41607637699318,0.0008900488322325373,0.17941285915298724,0.16349251924196692,0.893304852366592,0.4494512662550873,56.17777960810484
C16-L,018,L,58.234566555970275,58.23635002108775,-0.0017834651174766236,0.2080561741106343,0.19498439940694115,0.8736254801649654,0.4865989317770166,56.17777960810484
C16-L,110,L,62.06808289954562,62.06401342894483,0.004069470600789771,0.19174527835283617,5.754590314886833e-28,0.8568611470887355,0.5155472573972015,56.17777960810484
C16-L,113,L,64.73643841618085,64.74010334447152,-0.003664928290675107,0.21728609538758215,8.296452419716644e-20,0.8446250077159538,0.5353583812184366,56.17777960810484
C17-S,003,S,16.530600590943532,16.543179994070375,-0.012579403126842692,0.15183016473937547,0.6149826452203699,0.9896130331875982,0.14375689390509847,71.74829598452918
C17-S,006,S,33.526373300320536,33.52165120454524,0.004722095775292701,0.12506868792981143,0.33916807245985503,0.9575050069400565,0.28841664599104255,71.74829598452918
C17-S,101,S,35.09437631500039,35.09405662223529,0.00031969276509613564,0.11826520686977965,1.8371954263231813e-13,0.9534689694205084,0.30149116795056136,71.74829598452918
C17-S,012,S,36.452425299630555,36.45582412886971,-0.0033988292391526898,0.12080181186195756,1.641633454956432e-12,0.9498290598111256,0.31276949521702574,71.74829598452918
C17-S,104,S,41.51126797664167,41.51968154575885,-0.008413569117180941,0.12848895143183617,2.5943424942003718e-23,0.9351003671440976,0.354382989669332,71.74829598452918
C17-S,015,S,45.01872430977112,45.00633664955085,0.012387660220269936,0.11820263572292951,2.0624803171010705e-27,0.9238169895413382,0.3828343895665317,71.74829598452918
C17-S,107,S,53.430074435621535,53.43018453908189,-0.00011010346035789098,0.15234989568798793,3.409331700168722e-26,0.8932534342573173,0.4495534475315572,71.74829598452918
C17-S,018,S,58.24343407912614,58.2462898471893,-0.0028557680631635662,0.16464273231922827,1.7955794236432952e-28,0.8735878227051199,0.4866665347250907,71.74829598452918
C17-S,110,S,62.13250063187776,62.12905710081861,0.003443531059147631,0.1633748665691529,1.006113266442776e-33,0.8565711964300934,0.5160288610594551,71.74829598452918
C17-S,113,S,64.79876929368777,64.80170376950406,-0.0029344758162892504,0.17981698758239653,2.189473243562155e-31,0.8443336802002179,0.5358177269179848,71.74829598452918
C17-M,003,M,16.522331498575117,16.52711939358512,-0.004787895010004206,0.14805948689256732,0.5549960048126278,0.9896234043160438,0.14368548162540334,73.33313393096773
C17-M,006,M,33.50903110855664,33.50678244852139,0.0022486600352493724,0.12477259037984023,0.25401039019669686,0.957548644711414,0.2882717346729197,73.33313393096773
C17-M,101,M,35.08366393816923,35.07992653893857,0.0037373992306584114,0.11694147913365482,6.882126477083739e-15,0.9534971495902397,0.30140203337616694,73.33313393096773
C17-M,012,M,36.44187935135519,36.44177425649746,0.00010509485773013694,0.11965051127304645,3.7192177096701924e-16,0.9498578402030932,0.3126820804023076,73.33313393096773
C17-M,104,M,41.503330811548274,41.50594988442098,-0.0026190728727044643,0.12749373941761988,1.2620940371030298e-20,0.9351249111792217,0.35431821924938145,73.33313393096773
C17-M,015,M,44.9884843640779,44.99284063652721,-0.004356272449314247,0.15189978736566057,1.6339244790541774e-19,0.9239179848068629,0.38259058711686234,73.33313393096773
