subset_id,subset_description,group,target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p,n_samples,design_orthogonal,type_agreement,type_max_abs_diff
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,precursor:beta,0.07201601029646554,2.0,0.03600800514823277,0.20042041415808953,0.8195504042540434,0.00014297462615579941,0.0,0.9972005598880224,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,precursor:t_hold,0.27541035626654775,2.0,0.13770517813327388,0.7664664765395582,0.4741549912606712,0.0005467769259161217,0.0,0.9870025994801039,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,T_C:beta,2.686062981795658,4.0,0.6715157454489145,3.737653981732864,0.014706813248653703,0.005332687121547113,0.0039045472830580236,0.9934013197360528,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,T_C:t_hold,1.636441941371686,4.0,0.4091104853429215,2.277107342417427,0.08602475243832293,0.0032488563838806604,0.0018214595552550712,0.997000599880024,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,beta:t_hold,1.1000719299631783,4.0,0.27501798249079457,1.5307490021960422,0.22035596503090996,0.002183991757992367,0.0007569746170765451,0.9974005198960207,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,Residual,5.030546156616765,28.0,0.17966236273631303,,,0.009987229966515862,,,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,D_sec,coupling_total,,6.0,,,,0.003989898727017353,0.0025858512669349387,,54,True,True,4.263256414560601e-13
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,precursor,0.42056339184440716,1.0,0.42056339184440716,194.58567657150806,3.952468320851776e-14,0.602640133828026,0.5976920135663695,0.0001999600079984003,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,T_C,0.1758137421684296,2.0,0.0879068710842148,40.67262704485378,5.212106789785181e-09,0.2519297189527778,0.24497692971770413,0.0013997200559888023,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,beta,0.00038023292724886915,2.0,0.00019011646362443457,0.08796281706665873,0.9160469763664004,0.0005448491870824915,0.0,0.9880023995200959,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,t_hold,0.0051384272628229866,2.0,0.0025692136314114933,1.18872013689176,0.31951847859413135,0.007363033857399688,0.001165339508759485,0.8186362727454509,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,precursor:T_C,0.004784606086746024,2.0,0.002392303043373012,1.1068673957029431,0.34462807970078585,0.006856031001142774,0.0006599020139663262,0.8404319136172765,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,precursor:beta,0.0003261971003549746,2.0,0.0001630985501774873,0.07546220700507333,0.9275027140654526,0.0004674193427776116,0.0,0.9870025994801039,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,precursor:t_hold,0.004990787274476105,2.0,0.0024953936372380525,1.1545652061743046,0.3297492144497096,0.007151475305083632,0.0009544341393615068,0.8372325534893021,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,T_C:beta,0.013037367847598347,4.0,0.0032593419618995867,1.5080277388212995,0.2267411043237137,0.01868170472466755,0.006274103075007411,0.9152169566086783,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,T_C:t_hold,0.01074135628015327,4.0,0.0026853390700383173,1.2424488909406228,0.3157848593079708,0.015391668679904756,0.002994224952582298,0.9438112377524495,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,beta:t_hold,0.001574929246174861,4.0,0.00039373231154371524,0.18217151020634292,0.9457223149773826,0.002256771725950954,0.0,0.998000399920016,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,Residual,0.06051717258498179,28.0,0.002161327592320778,,,0.08671719339518677,,,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,circularity,coupling_total,,6.0,,,,0.014474925649004017,0.0016143361533278331,,54,True,True,2.1267709815475655e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,precursor,0.006657931577379372,1.0,0.006657931577379372,18.143734101332427,0.0002087722168916805,0.13073846796993788,0.12264898607564821,0.00639872025594881,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,T_C,0.027201196483872536,2.0,0.013600598241936268,37.06340854555167,1.3559862437161805e-08,0.5341362724923839,0.5160066606726021,0.0001999600079984003,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,beta,5.738829530343992e-05,2.0,2.869414765171996e-05,0.07819530423322553,0.9249850176144235,0.0011269052137557886,0.0,0.9718056388722256,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,t_hold,0.0010874945467378438,2.0,0.0005437472733689219,1.4817824172073324,0.2445113739149482,0.021354585776943373,0.006893495271250353,0.5804839032193562,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,precursor:T_C,0.0006867318187815385,2.0,0.0003433659093907693,0.935716999648183,0.4042289697488871,0.01348500879743894,0.0,0.7094581083783243,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,precursor:beta,5.894237121140122e-05,2.0,2.947118560570061e-05,0.08031283425885215,0.923039408823366,0.0011574218240505167,0.0,0.969006198760248,54,True,True,1.1671653227240952e-14
