sample_id,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density
C22-S,5.56328149565903,1.6396954827686998,0.49088105596107,0.7854625720191758,1.0585612216697573,1472,392,1.4723286714957946,218,True,0.3722,0.0959
C23-L,12.429594538251635,1.5303470767877312,0.3207354068927546,0.7572772161906163,1.4161795826471533,264,182,1.9870283377776112,83,True,0.3498,0.0846
C23-M,9.907145179054213,1.6003824594237708,0.3292918926245407,0.7373725058672091,1.174690892887961,448,324,1.8393595964907241,129,True,0.3796,0.0858
C23-S,6.886587711776878,1.6139264706602068,0.4223410298140281,0.7654324353500505,1.1279572524657577,962,401,1.7830098452816006,128,True,0.4243,0.0862
C24-L,11.072225426422966,1.5145043904992606,0.4304883904753143,0.8124499064921187,,373,0,,0,False,0.268,0.1171
C24-M,10.88717943418724,1.548507992808895,0.3397693825324865,0.7545605808500984,,364,0,,0,False,0.2754,0.1159
C24-S,4.531904977172929,1.5123292903314627,0.6106123834198492,0.8368592397019667,,2188,0,,0,False,0.3052,0.1136
C25-L,11.271113901373727,1.4979641685382052,0.4311072237386223,0.8224826698120924,,364,0,,0,False,0.2233,0.132
C25-M,10.072381574072821,1.5191146138540665,0.3686419031995877,0.7722419928825623,,409,0,,0,False,0.201,0.136
C25-S,5.0582035897342195,1.505678949341122,0.5624478112643455,0.8183006535947713,,1813,0,,0,False,0.3126,0.1189
C26-L,11.543832104568837,1.57652212082256,0.3482391535179845,0.770765324628219,1.225736097779432,359,224,1.6313434764317782,152,True,0.3945,0.0902
C26-M,12.263835393808279,1.5145687054984804,0.3032572824128868,0.7549215406562054,1.2732441655137383,303,218,1.8677882146498122,81,True,0.3573,0.0948
C26-S,5.415826839329719,1.6057461249214457,0.5073927498179474,0.7953216374269005,1.1554826232874524,1501,391,1.6801629914204086,180,True,0.3796,0.0918
C27-L,11.441635623198781,1.4996839290927213,0.4306557348429704,0.8162839248434238,,355,0,,0,False,0.2159,0.1326
C27-M,11.31609882347827,1.5455966236865375,0.33511319841315834,0.75,,335,0,,0,False,0.1786,0.1379
C27-S,4.830280523803874,1.5346013670928402,0.5625180144350935,0.817032793777591,,1816,0,,0,False,0.2754,0.1204
