sample_id,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol,BIC1,BIC2,dBIC,mode1_um,mode2_um,w1_num,w2_num,w1_vol,w2_vol,separation,n_local_maxima,density_bimodal,condition_id,precursor,Theta,T_C,beta,t_hold
C18-M,351,5.679607982902557,11.026258166374912,16.361956902023664,0.9688099768693452,10.261445901092262,15.078076516655344,20.585819909744615,0.6847275245783493,66,198,370.327284261612,349.7015395492806,-20.625744712331425,6.874151296936109,13.238053698127842,0.374389740114842,0.6256102598851581,0.08622770982239657,0.9137722901776034,2.5630930110880294,2,True,C18,M,20.10899171428039,900.0,8.0,20.0
C15-M,346,6.261774041598363,10.21321710946393,16.340715498928475,0.986852756512011,9.146279823729857,14.91494545274612,19.373565176610363,0.6857071911716225,59,200,288.83919368347847,292.7164719366014,3.877278253122938,7.671805630876525,13.246748549574185,0.5003143988219014,0.4996856011780985,0.16713235806696367,0.8328676419330363,2.3111990132231366,2,True,C15,M,20.174386742848625,900.0,5.0,20.0
C12-M,537,4.801269978674867,8.531606208357893,14.45355580642158,1.1313562290639902,8.125397148617667,13.070810504421175,17.84511760187089,0.7436203324931951,80,290,586.1299940606161,589.5261504525959,3.39615639197973,6.121785970071,11.088073437975208,0.467768981437543,0.5322310185624571,0.14193574996259237,0.8580642500374077,2.057871073188099,1,False,C12,M,20.43596685712156,900.0,2.0,20.0
C25-M,407,5.386440692775725,10.13832459882149,15.657394560182503,1.013081971019226,9.525708687242885,14.398418150311167,18.97834452562835,0.6565051618660751,74,228,408.5527877343696,389.0732990287645,-19.479488705605092,6.896268075955001,12.90672114719176,0.4330887642055201,0.5669112357944799,0.11377205377699202,0.8862279462230079,2.5565469363135276,2,True,C25,M,23.39542871423181,950.0,8.0,10.0
C22-M,233,6.538509111069251,12.960966613520917,18.691310859013555,0.9376462504938843,11.669802980949516,17.28424147311628,24.55884401665146,0.7457105396120169,39,134,250.8115608588845,244.30275304106803,-6.508807817816461,6.931077949921503,14.201754680989833,0.23151689504541473,0.7684831049545853,0.034584001574537185,0.9654159984254629,2.6416211836017336,1,False,C22,M,23.55923578550109,950.0,5.0,10.0
C19-M,309,7.3494788682428585,11.740146324766496,17.232594743621398,0.841822205787125,10.296793851284088,15.28695593287136,21.00262503971913,0.7003245927735307,61,188,209.87803682588446,210.97044689147236,1.0924100655878988,8.630401331572388,14.494425472420504,0.46714117645060277,0.5328588235493973,0.16388923617972706,0.8361107638202729,2.4500949265680942,2,True,C19,M,24.21446407057823,950.0,2.0,10.0
C26-M,303,6.956237837898922,12.131106271479819,17.48803425863817,0.8681645502932785,10.951468175757933,15.832862353348885,20.321215031171135,0.5917910890844928,62,183,252.65744569020222,238.07362162252292,-14.583824067679302,7.956073561418439,14.24741399782003,0.36068109935346576,0.6393189006465342,0.09795768497202148,0.9020423150279785,2.492832955918149,1,False,C26,M,34.956637178623296,950.0,8.0,15.0
C23-M,445,5.303289909250667,9.910348265447459,15.763555453682535,1.055489198185063,9.428187912257197,14.31143119626969,19.26723914818563,0.6874959674538356,74,247,488.8977460366178,478.193639203083,-10.704106833534752,6.197246171796117,11.909236144541666,0.35325359518494803,0.6467464048150519,0.07656150694891965,0.9234384930510804,2.37176082137156,1,False,C23,M,35.12044424989258,950.0,5.0,15.0
C20-M,338,6.120258816752761,11.552078681716228,17.143387861077265,0.9542117352239899,10.704321422403117,15.635738845348248,19.71079643784503,0.576018511470688,66,200,316.4708570922264,292.25016306143306,-24.220694030793368,7.009277420564521,13.427610223134646,0.3186610968338818,0.6813389031661182,0.06483310260505736,0.9351668973949427,2.7926955344576014,2,True,C20,M,35.77567253496972,950.0,2.0,15.0
C27-M,335,6.104679006626931,11.30907943021431,16.978323958267893,0.9614969121704103,10.488646263710098,15.151583773998224,22.165970706502385,0.7706999226596928,58,196,320.5256861308957,315.40471741700105,-5.1209687138946265,7.226062936129429,13.17198904477919,0.33915312181276436,0.6608468781872356,0.0852113068480156,0.9147886931519843,2.272255003532919,1,False,C27,M,46.5178456430148,950.0,8.0,20.0
C24-M,363,6.5685629873611155,10.88717943418724,15.859701423642528,0.8534017917538826,9.835427552762441,14.476598996329738,20.905106301771916,0.764660176869994,66,220,286.45456642385705,296.38698556195396,9.932419138096918,8.247672271192075,13.174996879440291,0.46442223643185976,0.5355777635681402,0.19612465044834188,0.8038753495516581,1.7542268724574923,1,False,C24,M,46.68165271428408,950.0,5.0,20.0
C21-M,473,5.122434552940611,9.037499283254542,15.462850970376598,1.1441678824357533,8.85922602685856,14.399417367034228,20.690531364465784,0.8216516707609022,63,252,522.1677335676789,534.2814895048205,12.113755937141605,6.47995731930215,11.592565752104212,0.4401821296830147,0.5598178703169854,0.12571169083777842,0.8742883091622217,1.9464934645180558,1,False,C21,M,47.33688099936123,950.0,2.0,20.0
C07-S,2944,2.3230215853143203,3.9919090976696414,6.554050006251403,1.0599009940900288,3.771097765009893,6.091192068500004,8.97832059209872,0.8548774638083511,417,1653,2920.4873733756135,2919.7581532627582,-0.7292201128552733,3.049940293274988,4.927602789101981,0.4568723260091145,0.5431276739908855,0.18639235035336746,0.8136076496466325,1.5076060808968061,1,False,C07,S,4.054026098945026,850.0,8.0,10.0
C04-S,2580,2.3636606135239884,4.132567180892246,7.099929455286646,1.1460839314752698,3.9998532032338936,6.666422005389823,9.86427593542247,0.8796956939490437,331,1377,2751.620479910491,2765.2525573270323,13.632077416541051,3.1926854221405594,5.4454356068394105,0.5081190380149592,0.49188096198504083,0.1854107151868056,0.8145892848131944,1.7084810959328127,1,False,C04,S,4.078166000601167,850.0,5.0,10.0
C01-S,2990,2.2816588429798004,3.8625820108126097,6.487846208837168,1.088957426426907,3.6859604338129857,6.073399489064991,8.964801610525155,0.8691740410319782,407,1657,2972.49660490246,2990.0397134042637,17.543108501803545,3.06992432761573,4.986744778640994,0.5182146374373523,0.4817853625626478,0.21730530244068996,0.78269469755931,1.5480081512456734,1,False,C01,S,4.174725607225732,850.0,2.0,10.0
C08-S,2920,2.267703612111852,3.935851422566431,6.656891733175485,1.115181354635993,3.762670720366032,6.125443280890184,8.781898025735604,0.8194063801110162,396,1597,2946.756091026601,2954.307522597627,7.551431571026114,2.9933119193912607,5.072239455790449,0.4869421575672099,0.5130578424327902,0.17144312774090997,0.82855687225909,1.7538606534859478,1,False,C08,S,6.060922563704088,850.0,8.0,15.0
C05-S,3174,2.309316323606075,3.895316341929664,6.248580084155872,1.0112821180008098,3.6251748228320464,5.767016841970411,8.249707597194043,0.80189340539223,476,1855,2847.7994398764204,2843.2456826008884,-4.553757275532007,3.049646776008205,4.697357179274252,0.4492766539324852,0.5507233460675148,0.20639976380121475,0.7936002361987852,1.3768368037015164,1,False,C05,S,6.085062465360228,850.0,5.0,15.0
C02-S,2621,2.606367617934471,4.208679785659095,7.014013617141406,1.0472752083030428,3.935851422566431,6.437164059972479,9.142762795757598,0.8088828130960248,384,1481,2368.295038699702,2384.084374055581,15.789335355878848,3.399584301591153,5.66906733591777,0.5576677053788953,0.4423322946211047,0.227020574696342,0.772979425303658,1.8290451250587372,1,False,C02,S,6.181622071984794,850.0,2.0,15.0
C09-S,2603,2.29552923725896,3.9998532032338936,7.023511401918536,1.182038921037649,3.911580781529363,6.723319953289373,9.945453506627214,0.8974543480034427,310,1356,2828.729977956056,2847.001732726364,18.271754770308235,3.116932452431206,5.374449795655853,0.5354953759338958,0.4645046240661042,0.18681472218051196,0.8131852778194881,1.7356344038447176,1,False,C09,S,8.06781902846315,850.0,8.0,20.0
C06-S,1960,2.678446672979338,4.820413844347526,8.303452297206178,1.1669134240046188,4.751748790260042,7.773797658868328,10.567501711909802,0.7481224977621027,270,1002,2240.8439682984354,2189.971315458048,-50.87265284038722,3.3922537515031754,6.465453409033481,0.48222291855961696,0.5177770814403829,0.12360346297632206,0.8763965370236779,2.3008636566695087,2,True,C06,S,8.091958930119292,850.0,5.0,20.0
