sample_id,D_f,solidity,elongation,roughness,n_particles,precursor,Theta,T_C,compaction_density,circularity
C20-L,1.05948403149506,0.7872439154748267,0.3449641586420431,1.3186598454526082,338,L,35.77567253496972,950.0,3.45,0.3675766078194761
C20-M,1.0586391595195848,0.7196576215732646,0.38085784106593124,1.424849013477707,316,M,35.77567253496972,950.0,3.34,0.2871032204972198
C20-S,1.059813498457908,0.7345242970532908,0.4308979598656667,1.2199492607687539,828,S,35.77567253496972,950.0,3.26,0.5236644148842428
C21-L,1.0577963129388308,0.7572777340676633,0.3652951004396431,1.3408544593127905,293,L,47.33688099936123,950.0,3.325,0.3190281414260775
C21-M,1.0614283421604171,0.7093023255813954,0.4017786134279152,1.3930626675664088,401,M,47.33688099936123,950.0,3.355,0.3130151460837162
C21-S,1.0578646696825538,0.7421562810752993,0.4311161450573494,1.2202420198173733,812,S,47.33688099936123,950.0,3.24,0.5180029222813124
C22-L,1.057913577307124,0.772419627749577,0.3776267283167767,1.3645331183013298,259,L,23.55923578550109,950.0,3.51,0.3227905723752118
C22-M,1.0633720475864883,0.7055456187192715,0.39398918646610304,1.4897488583562732,220,M,23.55923578550109,950.0,3.5,0.2441226219486276
C22-S,1.059898604553177,0.7293469708890638,0.4455060090524856,1.235956493921008,813,S,23.55923578550109,950.0,3.37,0.49088105596107
C23-L,1.0553733808668608,0.7502424134485044,0.3618133841874601,1.3586968881818413,252,L,35.12044424989258,950.0,3.56,0.3207354068927546
C23-M,1.0622685135912997,0.7180106621776345,0.384609422217177,1.37343736911724,390,M,35.12044424989258,950.0,3.43,0.3292918926245407
C23-S,1.0612089511523384,0.7230494341870161,0.4153489098834128,1.290690347000642,663,S,35.12044424989258,950.0,3.33,0.4223410298140281
C24-L,1.057379945059464,0.7975431265551205,0.3480429147451187,1.2661843657629153,348,L,46.68165271428408,950.0,3.4,0.4304883904753143
C24-M,1.0612839329996575,0.7434632461766156,0.3598335087495812,1.3360048661456152,339,M,46.68165271428408,950.0,3.37,0.3397693825324865
C24-S,1.0585280786458149,0.745945945945946,0.4386384901009393,1.211139076457938,795,S,46.68165271428408,950.0,3.1,0.6106123834198492
C25-L,1.0553392569585984,0.812704343764596,0.3361867023213095,1.2590803510880717,339,L,23.39542871423181,950.0,3.41,0.4311072237386223
C25-M,1.0582872582981286,0.7511133102424542,0.365443501476253,1.3490225307272723,359,M,23.39542871423181,950.0,3.38,0.3686419031995877
C25-S,1.0587467468724738,0.7490636704119851,0.4133141547414356,1.221342235194328,819,S,23.39542871423181,950.0,3.13,0.5624478112643455
C26-L,1.0566583760222577,0.7658371040723982,0.3685255347637384,1.3136207029652367,337,L,34.956637178623296,950.0,3.43,0.3482391535179845
C26-M,1.059618117781123,0.7493451661181196,0.3502989522917362,1.3963117859345333,292,M,34.956637178623296,950.0,3.44,0.3032572824128868
C26-S,1.0615448417059763,0.7344173441734417,0.4273186616532849,1.2321963033512102,793,S,34.956637178623296,950.0,3.28,0.5073927498179474
C27-L,1.0553663502759465,0.8013398013398013,0.344173168930163,1.255517098047381,331,L,46.5178456430148,950.0,3.38,0.4306557348429704
C27-M,1.0599906830808572,0.7388703149744853,0.3690660277843323,1.404064574467428,307,M,46.5178456430148,950.0,3.38,0.3351131984131583
C27-S,1.0593166296493095,0.7244501940491591,0.4256413289171938,1.2358641868692255,793,S,46.5178456430148,950.0,3.14,0.5625180144350935
