sample_id,precursor,r2
C01-M,M,0.8690286529691373
C01-M,M,0.6363850100179513
C01-M,M,0.6654389617306151
C01-M,M,0.9734661676152104
C01-M,M,0.909355701097442
C01-M,M,0.5252188162660144
C01-M,M,0.8334770464243951
C01-M,M,0.9192700971219668
C01-M,M,0.9730301512568424
C01-M,M,0.7422539546007334
C01-M,M,0.933033688641479
C01-M,M,0.8727210456526774
C01-M,M,0.8774625403677617
C01-M,M,0.7568753175031342
C01-M,M,0.9543231080100524
C01-M,M,0.9670345871855875
C01-M,M,0.8746016931451512
C01-M,M,0.8779664300613319
C01-M,M,0.8344778196251443
C01-M,M,0.8211200432427208
C01-M,M,0.8848386786407382
C01-M,M,0.9004540250095501
C01-M,M,0.8952995671484929
C01-M,M,0.8817350790244638
C01-M,M,0.8702946488934576
C01-M,M,0.8151161194714975
C01-M,M,0.8311381973778993
C01-M,M,0.9023368712672462
C01-M,M,0.8648154867915734
C01-M,M,0.8603917371909607
C01-M,M,0.8062670378465935
C01-M,M,0.5573889744323912
C01-M,M,0.849942743062327
C01-M,M,0.8290736593684689
C01-M,M,0.8327231196654394
C01-M,M,0.903492022578128
C01-M,M,0.7700141362718099
C01-M,M,0.7934056996200204
C01-M,M,0.8106576393713081
C01-M,M,0.9692179476562044
C01-M,M,0.7916150199276221
C01-M,M,0.928200157976556
C01-M,M,0.8711228487958684
C01-M,M,0.8150979088865843
C01-M,M,0.9665268939693876
C01-M,M,0.8741489744311804
C01-M,M,0.8554498903506677
C01-M,M,0.8676267994303528
C01-M,M,0.9470184547699436
C01-M,M,0.8888255730825956
C01-M,M,0.9183306648730276
C01-M,M,0.7496371587952917
C01-M,M,0.7763547588146787
C01-M,M,0.7542845078519727
C01-M,M,0.9264212968374486
C01-M,M,0.6321404580584877
C01-M,M,0.8693752934591708
C01-M,M,0.9479767643861384
C01-M,M,0.7548037442983102
C01-M,M,0.9636113609641832
