sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C16-M,101,M,0.9535371476973166,0.0031385740597613,False
C16-M,12,M,0.949902756159763,-0.0031083141412011,False
C16-M,104,M,0.9351681778204384,-0.0077502852639739,False
C16-M,15,M,0.9239096989052548,0.0044461422614077,False
C16-M,107,M,0.8932957826484634,0.0032232074374292,False
C16-M,18,M,0.8736422987153617,-0.004363941805181,False
C16-M,110,M,0.8568097409123444,0.0029921872021958,False
C16-M,113,M,0.8445626368744137,-0.0017608901183905,False
C16-L,3,L,0.9896093633263714,-0.0116857808548225,True
C16-L,6,L,0.9574840908718244,0.0040766189585852,True
C16-L,101,L,0.9535610994282876,0.0004049489078497,False
C16-L,12,L,0.9499157847014494,-0.0021001018116422,False
C16-L,104,L,0.9351669432970277,-0.0035498724221554,False
C16-L,15,L,0.9239174957536386,0.0046977823008802,False
C16-L,107,L,0.893304852366592,0.0008900488322325,False
C16-L,18,L,0.8736254801649654,-0.0017834651174766,False
C16-L,110,L,0.8568611470887355,0.0040694706007897,False
C16-L,113,L,0.8446250077159538,-0.0036649282906751,False
C17-S,3,S,0.9896130331875982,-0.0125794031268426,True
C17-S,6,S,0.9575050069400564,0.0047220957752927,True
C17-S,101,S,0.9534689694205084,0.0003196927650961,False
C17-S,12,S,0.9498290598111256,-0.0033988292391526,False
C17-S,104,S,0.9351003671440976,-0.0084135691171809,False
C17-S,15,S,0.9238169895413382,0.0123876602202699,False
C17-S,107,S,0.8932534342573173,-0.0001101034603578,False
C17-S,18,S,0.8735878227051199,-0.0028557680631635,False
C17-S,110,S,0.8565711964300934,0.0034435310591476,False
C17-S,113,S,0.8443336802002179,-0.0029344758162892,False
C17-M,3,M,0.9896234043160438,-0.0047878950100042,True
C17-M,6,M,0.957548644711414,0.0022486600352493,True
C17-M,101,M,0.9534971495902396,0.0037373992306584,False
C17-M,12,M,0.9498578402030932,0.0001050948577301,False
C17-M,104,M,0.9351249111792216,-0.0026190728727044,False
C17-M,15,M,0.9239179848068628,-0.0043562724493142,False
C17-M,107,M,0.8932889019693306,0.0037238378459747,False
C17-M,18,M,0.8736342874220099,-0.0013093448581216,False
C17-M,110,M,0.8566334873945181,0.0009549563092861,False
C17-M,113,M,0.8443751030698845,-0.0006672776221421,False
C17-L,3,L,0.9896160515249314,-0.0125113985717923,True
C17-L,6,L,0.957520742250878,-0.0047040018816417,True
C17-L,101,L,0.9534948488828238,0.0019319893249445,False
C17-L,12,L,0.949849438787533,-0.0003828784515462,False
