sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C17-L,104,L,0.9351011299936614,-0.0014979719292256,False
C17-L,15,L,0.9238472615011392,0.008388275842968,False
C17-L,107,L,0.8932558648279602,-0.0003651531390929,False
C17-L,18,L,0.8735637774527909,0.0006158820612611,False
C17-L,110,L,0.8566521636765773,0.0009931730493306,False
C17-L,113,L,0.8443989057837957,-0.0032033082105726,False
C18-S,3,S,0.9896256723683692,-0.0071125025265246,True
C18-S,6,S,0.957596517405824,-0.0062007657784874,True
C18-S,101,S,0.953410884739624,0.0033341864960334,False
C18-S,12,S,0.9497715325547706,0.0009206986133705,False
C18-S,104,S,0.93504808216543,-0.0005548368804397,False
C18-S,15,S,0.9238347737654306,0.0027238159245186,False
C18-S,107,S,0.8932652009998359,0.0026183865190887,False
C18-S,18,S,0.8736218764059186,8.186325606374112e-05,False
C18-S,110,S,0.8563911912575868,-0.0007873959791027,False
C18-S,113,S,0.8441394632891636,-0.001515053356428,False
C18-M,3,M,0.9896212940395276,-0.0127430190508945,True
C18-M,6,M,0.9575601167903868,-0.0094419991446699,True
C18-M,101,M,0.9534510751913454,0.0034909935237266,False
C18-M,12,M,0.9498050256784488,0.0022591416000992,False
C18-M,104,M,0.9350677500393824,0.000554987673027,False
C18-M,15,M,0.923839214942306,0.0050783105712852,False
C18-M,107,M,0.8932452340681192,0.003190074613137,False
C18-M,18,M,0.8735844692354666,5.465172354490733e-05,False
C18-M,110,M,0.8565425012581294,-0.0023540590242774,False
C18-M,113,M,0.8442730790190716,-0.0013570044286126,False
C18-L,3,L,0.9896304178959676,-0.0081706102106799,True
C18-L,6,L,0.957596589246891,-0.0103367190324945,True
C18-L,101,L,0.953460313120966,0.0049866695664988,False
C18-L,12,L,0.9498199205234228,0.0022410704592275,False
C18-L,104,L,0.93508538724251,0.0017293085247729,False
C18-L,15,L,0.9238789717336238,0.0009244621124153,False
C18-L,107,L,0.8932807496610983,0.0037413276610109,False
C18-L,18,L,0.8736266848657933,0.0006742782018136,False
C18-L,110,L,0.8565474584103994,-0.0035792738883486,False
C18-L,113,L,0.8442698568191328,-3.5436745207562126e-05,False
C19-S,3,S,0.9896359839991092,-0.0073776374093519,True
C19-S,6,S,0.9576394487180758,-0.0110140203333202,True
C19-S,101,S,0.9534050749565548,0.0058455684525284,False
C19-S,12,S,0.949768316185766,0.0031651254241751,False
C19-S,104,S,0.935051944460734,0.0018730380407916,False
C19-S,15,S,0.9238615682859485,2.1659324644929256e-05,False
C19-S,107,S,0.8932947350007469,0.0040672367856942,False
C19-S,18,S,0.8736666317359941,0.0004980844607587,False
C19-S,110,S,0.8563999018949378,-0.006305164736247,False
C19-S,113,S,0.8441111164061372,0.0024034937090959,False
C19-M,3,M,0.9896509619721976,-0.0110017441541359,True
C19-M,6,M,0.9576786810477668,-0.0204301947727216,True
C19-M,101,M,0.953438638508207,0.0079356040681659,False
C19-M,12,M,0.9498077561117914,0.0030963937024708,False
C19-M,104,M,0.9350885717500113,0.002843419532617,False
C19-M,15,M,0.9238867020289732,0.0043457866863079,False
C19-M,107,M,0.8933224317298208,0.0067796572116023,False
C19-M,18,M,0.8737015845173927,0.0009509563722076,False
C19-M,110,M,0.8564868415432431,-0.00624800822753,False
C19-M,113,M,0.844210822718856,-0.0003908267153036,False
C19-L,3,L,0.9896646451491056,-0.0058825292585247,True
C19-L,6,L,0.9577278703342588,-0.0171709113568496,True
C19-L,101,L,0.9534376332238808,0.0060341773451497,False
C19-L,12,L,0.9498098730913372,0.0014420203265288,False
C19-L,104,L,0.9351041270656418,0.0016774429538486,False
C19-L,15,L,0.9239097829050068,0.0042300019479029,False
C19-L,107,L,0.8933810427277193,0.0050106094173756,False
C19-L,18,L,0.8737706180291329,0.0012365108940031,False
C19-L,110,L,0.8564124843007346,-0.0041197246252053,False
C19-L,113,L,0.8441581842674672,-0.0009566636052511,False
C21-S,3,S,0.9896273948407368,-0.0112096468676909,True
C21-S,6,S,0.9575801281759576,-0.0124311718646765,True
C21-S,101,S,0.9534812932512272,0.0058108768360014,False
C21-S,12,S,0.9498425645599056,0.0019003983710916,False
C21-S,104,S,0.935110234234684,-0.0011417835715761,False
C21-S,15,S,0.9238757254493806,0.0053763390815433,False
C21-S,107,S,0.8932763752923469,0.0047932113045376,False
C21-S,18,S,0.8736201731984367,0.0003377673117057,False
C21-S,110,S,0.8566282237003584,-0.0016597641659572,False
C21-S,113,S,0.844368243460498,-0.0026760024972816,False
C21-M,3,M,0.9896204259468376,-0.0112496149461911,True
C21-M,6,M,0.9575830508358828,-0.0162266252263236,True
C21-M,101,M,0.9534516153552766,0.0073265353263636,False
C21-M,12,M,0.9498174929017134,0.0018117775943053,False
C21-M,104,M,0.9350819255375044,0.0004254910381504,False
C21-M,15,M,0.923850813704242,0.0063214174728756,False
C21-M,107,M,0.8932641828910323,0.003800540092584,False
